year,genre,title,movieRating,avg_vote
2005,"Comedy, Drama, Romance",The Wendell Baker Story,okay,5.6
2005,"Crime, Drama, Mystery",Where the Truth Lies,good,6.5
2005,"Action, Comedy, Crime",Kiss Kiss Bang Bang,good,7.5
2005,Drama,Casa de Areia,good,7.4
2005,"Adventure, Drama","Cinema, Aspirinas e Urubus",good,7.4
2005,"Action, Crime, Thriller",Der Clown,okay,4.4
2005,"Comedy, Drama, Family",The Honeymooners,okay,3.3
2005,"Crime, Mystery, Thriller",The Interpreter,good,6.4
2005,Comedy,Khullam Khulla Pyaar Karen,okay,4.2
2005,"Drama, History, War",Köshpendiler,okay,5.9
2005,"Romance, Thriller",Replica,bad,1.6
2005,"Adventure, Comedy",Searching for Bobby D,okay,4.8
2005,"War, Action, Adventure",Turetskiy gambit,good,7.0
2005,"Comedy, Fantasy, Romance",Bewitched,okay,4.8
2005,"Adventure, Comedy, Family",Lenny the Wonder Dog,okay,3.3
2005,"Comedy, Drama, Musical",On the One,okay,5.4
2005,"Crime, Drama",Remedy,okay,4.1
2005,"Drama, Horror, Mystery",White Noise,okay,5.5
2005,Comedy,You and Your Stupid Mate,okay,3.9
2005,Drama,Black,good,8.2
2005,"Adventure, Comedy, Drama",Racing Stripes,okay,5.2
2005,"Comedy, Family, Sport",Rebound,okay,5.1
2005,"Action, Drama, Thriller",Anniyan,good,8.2
2005,"Comedy, Drama, Romance",The Shadow Dancer,good,6.7
2005,"Drama, Mystery, Thriller",Slow Burn,okay,5.8
2005,Drama,Vida y color,good,6.1
2005,"Comedy, Drama",Colour Me Kubrick: A True...ish Story,good,6.1
2005,Thriller,Frozen,okay,5.8
2005,Comedy,Guy in Row Five,,6.0
2005,Comedy,Pizza,okay,5.7
2005,Drama,The Californians,okay,4.8
2005,"Crime, Drama",Hollywood Flies,okay,4.5
2005,"Drama, Mystery",Proof,good,6.7
2005,"Horror, Mystery, Thriller",The Ring Two,okay,5.4
2005,"Drama, Romance, Thriller",Three,okay,4.9
2005,"Comedy, Crime, Drama",Be Cool,okay,5.6
2005,"Drama, Music",Don't Come Knocking,good,6.6
2005,Comedy,The Dukes of Hazzard,okay,5.1
2005,"Drama, Mystery, Romance",Erosion,okay,4.4
2005,"Action, Adventure, Crime",Into the Blue,okay,5.8
2005,"Action, Adventure, Crime",Left for Dead,okay,3.5
2005,"Crime, Drama",Piggy Banks,okay,5.4
2005,"Drama, Romance",Schneeland,good,6.8
2005,"Action, Drama",Target of Opportunity,okay,3.8
2005,"Action, Comedy, Thriller",Dead Fish,okay,5.4
2005,Drama,Ghosts Never Sleep,okay,4.3
2005,"Comedy, Family",Bailey's Billion$,okay,3.9
2005,"Biography, Crime, Drama",Capote,good,7.3
2005,"Action, Adventure, Sci-Fi",Serenity,good,7.8
2005,"Action, Crime, Drama",Back in the Day,okay,4.4
2005,"Drama, Romance, Sport",Goal!,good,6.7
2005,"Crime, Drama",Oliver Twist,good,6.8
2005,"Comedy, Family, Romance",The Perfect Man,okay,5.5
2005,"Drama, Romance",Pogled sa Ajfelovog tornja,okay,4.7
2005,"Comedy, Drama",Winter Passing,good,6.3
2005,"Drama, Romance",Une aventure,okay,5.0
2005,"Romance, Comedy",Flirt,okay,5.8
2005,"Drama, Fantasy, Romance",The Last Sign,okay,3.3
2005,"Comedy, Drama",Pretty Persuasion,good,6.5
2005,"Action, Sci-Fi, Thriller",Slipstream,okay,4.5
2005,Drama,Vers le sud,good,6.3
2005,"Drama, Romance",The Good Humor Man,,6.0
2005,"Drama, Romance",Heights,good,6.9
2005,"Drama, Horror, Mystery",Hide and Seek,,6.0
2005,"Crime, Drama, Mystery",La historia del baúl rosado,good,6.2
2005,"Crime, Drama, Romance",Rosario Tijeras,good,6.3
2005,"Action, Comedy, Crime",Vet hard,good,6.2
2005,"Comedy, Drama, Romance",Things to Do Before You're 30,okay,5.6
2005,"Action, Comedy, Drama",Die Bluthochzeit,good,6.6
2005,Drama,Dallas Pashamende,good,6.5
2005,"Drama, Horror, Mystery",Dark Water,okay,5.6
2005,"Drama, Mystery, Romance",Look Both Ways,good,7.0
2005,"Crime, Drama, Romance",Little Fish,good,6.2
2005,"Action, Sci-Fi, Western",Planetfall,okay,3.0
2005,"Adventure, Comedy, Family",Kameleon 2,okay,5.9
2005,"Action, Adventure, Sci-Fi",Stealth,okay,5.1
2005,"Comedy, Drama, Music",Vom Suchen und Finden der Liebe,okay,5.7
2005,"Action, Adventure, Fantasy",BloodRayne,bad,2.9
2005,"Crime, Mystery, Thriller",Deepwater,okay,5.4
2005,"Comedy, Horror, Sci-Fi",Evil Aliens,okay,5.3
2005,Comedy,Mall Cop,okay,5.0
2005,Drama,Mouth to Mouth,good,6.2
2005,"Comedy, Drama, Music",Sueño,okay,5.2
2005,"Crime, Drama",Police Beat,good,6.7
2005,"Comedy, Sport",Af banen,okay,5.0
2005,"Drama, Horror, Mystery",Cry Wolf,okay,5.8
2005,Drama,Swimmers,good,6.5
2005,"Comedy, Family, Romance",Kicking & Screaming,okay,5.6
2005,"Comedy, Drama",The Weather Man,good,6.5
2005,"Drama, History, Romance",The White Countess,good,6.6
2005,"Drama, War",Missing in America,good,6.6
2005,Horror,The Amityville Horror,,6.0
2005,"Drama, Romance",Trouble with Sex,okay,5.2
2005,"Drama, Romance",The Dying Gaul,good,6.4
2005,"Crime, Drama, Sport",Hooligans,good,7.5
2005,"Comedy, Drama, Romance",How the Garcia Girls Spent Their Summer,good,6.3
2005,"Comedy, Drama",Lonesome Jim,good,6.6
2005,Comedy,The Long Weekend,okay,5.2
2005,"Action, Comedy, Crime",Miss Congeniality 2: Armed & Fabulous,okay,5.1
2005,Horror,Boo,okay,4.2
2005,"Action, Crime, Drama",Crash Landing,okay,3.7
2005,"Animation, Action, Adventu",Fainaru fantajî sebun adobento chirudoren,good,7.2
2005,Comedy,The Godfather of Green Bay,okay,5.6
2005,Comedy,My Big Fat Independent Movie,okay,3.2
2005,"Comedy, Crime",Le parfum de la dame en noir,okay,5.7
2005,"Action, Adventure, Romance",The Legend of Zorro,okay,5.9
2005,Drama,Duck,,6.0
2005,"Drama, Mystery, Thriller",Inside Out,okay,5.4
2005,"Comedy, Romance",Hitch,good,6.6
2005,"Comedy, Romance",Love for Rent,good,7.0
2005,"Drama, Mystery, Thriller",The River King,okay,5.8
2005,Comedy,Store planer!,okay,5.4
2005,Action,The Vault,bad,1.9
2005,"Drama, Romance",Aurora Borealis,good,6.7
2005,"Crime, Drama",Batalla en el cielo,okay,5.6
2005,"Drama, Family",Bee Season,okay,5.5
2005,"Crime, Horror, Thriller",Cold and Dark,okay,4.0
2005,"Drama, Mystery, Romance",The Constant Gardener,good,7.4
2005,"Mystery, Thriller, Drama",The Iris Effect,okay,3.2
2005,"Comedy, Drama, Romance",Prime,good,6.2
2005,"Horror, Thriller",The Roost,okay,4.9
2005,"Drama, Mystery, Thriller",Caché,good,7.3
2005,"Comedy, Drama, Romance",In Her Shoes,good,6.4
2005,"Comedy, Crime",King's Ransom,okay,4.3
2005,Comedy,The L.A. Riot Spectacular,okay,4.9
2005,"Drama, Romance",Loverboy,okay,5.4
2005,Comedy,My Big Phat Hip Hop Family,bad,1.6
2005,Drama,Paha maa,good,7.4
2005,"Action, Adventure, Drama",River Queen,,6.0
2005,"Action, Thriller",Transporter 2,good,6.3
2005,Comedy,Beauty Shop,okay,5.5
2005,Drama,"Va, vis et deviens",good,7.9
2005,Drama,Anklaget,good,7.0
2005,"Drama, Romance",Brokeback Mountain,good,7.7
2005,"Drama, Mystery, Thriller",The Circle,okay,5.6
2005,"Action, Comedy, Sci-Fi",The Girl from Monday,okay,5.2
2005,"Biography, Drama, History",The Greatest Game Ever Played,good,7.4
2005,"Comedy, Crime, Music",Johnny Slade's Greatest Hits,,6.0
2005,Drama,O Signo do Caos,good,6.7
2005,Drama,Budjenje iz mrtvih,good,6.5
2005,"Action, Adventure, Drama",Deck Dogz,okay,4.9
2005,"Action, Crime, Drama",Edison,okay,5.3
2005,"Comedy, Drama, Family",Waqt: The Race Against Time,good,6.8
2005,"Comedy, Drama, Romance",A Lot Like Love,good,6.6
2005,"Crime, Drama, Romance",A Perfect Fit,okay,5.2
2005,Drama,Three Dollars,good,6.2
2005,"Comedy, Drama, Romance",Adam and Eve,okay,4.5
2005,"Thriller, Drama",Confess,okay,5.0
2005,"Comedy, Drama, Romance",Mozart and the Whale,good,6.9
2005,Comedy,When Do We Eat?,okay,5.9
2005,"Action, Crime, Drama",Brick,good,7.3
2005,"Biography, Drama, Sport",Coach Carter,good,7.3
2005,Drama,Leef!,good,6.9
2005,Drama,The Nickel Children,okay,5.5
2005,"Horror, Mystery, Thriller",Reeker,okay,5.2
2005,"Comedy, Fantasy, Horror",Santa's Slay,okay,5.3
2005,"Romance, Comedy",The Third Wish,okay,4.3
2005,"Comedy, Musical",The Producers,good,6.3
2005,Drama,3 Needles,good,6.4
2005,Drama,Bab'Aziz,good,7.6
2005,Drama,Bye Bye Blackbird,okay,5.8
2005,"Drama, Music, Romance",Forty Shades of Blue,good,6.2
2005,"Comedy, Drama",Le courage d'aimer,okay,5.8
2005,Drama,States of Grace,good,6.8
2005,Horror,The Devil's Rejects,good,6.8
2005,"Drama, Horror, Mystery",House of 9,okay,5.5
2005,"Action, Comedy, Drama",The Pacifier,okay,5.6
2005,"Drama, Western",Truce,okay,5.9
2005,Drama,North Country,good,7.3
2005,Action,Pit Fighter,okay,4.5
2005,"Drama, Comedy",Maman Last Call,good,6.1
2005,"Comedy, Romance",Wedding Crashers,good,6.9
2005,"Drama, Crime",Willenbrock,good,6.8
2005,Drama,FAQs,okay,5.8
2005,"Comedy, Drama, Family",Ice Princess,,6.0
2005,"Drama, Thriller",The King,good,6.7
2005,"Drama, History, Musical",Kisna: The Warrior Poet,okay,4.5
2005,"Comedy, Family, Fantasy",Nanny McPhee,good,6.5
2005,"Action, Crime, Drama",Shadowboxer,okay,5.5
2005,Horror,House of Wax,okay,5.3
2005,"Drama, Horror, Mystery",The Skeleton Key,good,6.5
2005,"Adventure, Drama",Smile,good,6.3
2005,"Comedy, Crime",Drop Dead Sexy,okay,5.0
2005,"Action, Drama",Game Over,bad,2.8
2005,Drama,Man to Man,good,6.5
2005,"Drama, Romance",Memoirs of a Geisha,good,7.4
2005,Drama,Obaba,good,6.5
2005,Comedy,"Travaux, on sait quand ça commence...",okay,5.2
2005,Comedy,Zemanovaload,,6.0
2005,Drama,A fény ösvényei,good,6.9
2005,"Crime, Drama, Thriller",Derailed,good,6.6
