year,genre,title,movieRating,duration,avg_vote
2005,"Thriller, Crime, Romance",Rx,okay,89,5.4
2005,"Action, Adventure, Crime",Elektra,okay,97,4.7
2005,"Drama, Horror, Mystery",Boogeyman,okay,89,4.2
2005,"Horror, Thriller",Dr. Rage,bad,88,2.6
2005,"Animation, Adventure, Come",Robots,good,91,6.3
2005,"Biography, Drama, Music",Walk the Line,good,136,7.8
2005,"Action, Thriller",Into the Sun,okay,97,4.4
2005,"Adventure, Sci-Fi",Ainoa,okay,95,4.9
2005,"Drama, Horror, Mystery",Silence Becomes You,okay,88,4.3
2005,"Comedy, Drama, Romance",Standing Still,okay,90,5.7
2005,"Action, Fantasy, Horror",Constantine,good,121,7.0
2005,"Action, Adventure, Drama",King Kong,good,187,7.2
2005,"Animation, Adventure, Come",Valiant,okay,76,5.5
2005,"Comedy, Drama, Music",Happy Endings,good,128,6.3
2005,"Adventure, Drama, Family",Duma,good,100,7.2
2005,"Comedy, Family, Fantasy",Son of the Mask,bad,94,2.2
2005,Drama,Hermanas,good,88,6.5
2005,Drama,Monobloc,okay,83,4.8
2005,"Drama, Romance",Bewafaa,okay,149,4.3
2005,"Comedy, Drama, Romance",Bigger Than the Sky,okay,106,5.9
2005,"Adventure, Family, Fantasy","The Chronicles of Narnia: The Lion, the Witch and t",good,143,6.9
2005,"Drama, Romance",Lovesick,,93,3.4
2005,"Biography, Drama",Le promeneur du Champ de Mars,good,116,7.1
2005,"Comedy, Fantasy, Horror",The Gingerdead Man,,70,3.4
2005,"Drama, Romance",Neo Ned,good,97,7.1
2005,"Thriller, Action, Adventur",The Unknown,,85,3.4
2005,"Comedy, Romance",Dating Games People Play,okay,95,5.0
2005,"Adventure, Comedy, Sci-Fi",Man with the Screaming Brain,okay,90,5.6
2005,"Comedy, Drama",Las mantenidas sin sueños,good,97,6.9
2005,"Comedy, Crime, Thriller",The Matador,good,96,6.7
2005,"Action, Crime, Drama",Revolver,good,111,6.4
2005,"Drama, Thriller",Syriana,good,128,6.9
2005,"Action, Adventure, Comedy",San wa,good,122,6.1
2005,"Comedy, Drama",The Upside of Anger,good,118,6.8
2005,Drama,Géminis,okay,85,6.0
2005,"Drama, Fantasy, Mystery",The Jacket,good,103,7.1
2005,"Action, Drama",Lethal,bad,90,2.5
2005,"Adventure, Fantasy",Mirrormask,good,101,6.8
2005,"Drama, Romance, War",Sorstalanság,good,140,6.9
2005,"Comedy, Drama",The Squid and the Whale,good,81,7.3
2005,"Adventure, Comedy, Family",Charlie and the Chocolate Factory,good,115,6.6
2005,Comedy,Deuce Bigalow: European Gigolo,okay,83,4.7
2005,Drama,Hallesche Kometen,good,83,6.7
2005,"Comedy, Musical, Romance",Romance & Cigarettes,good,105,6.3
2005,Thriller,Trouble,okay,98,5.8
2005,"Romance, Thriller",Echoes of Innocence,okay,118,5.2
2005,"Comedy, Romance",Americano,good,95,6.1
2005,"Adventure, Comedy, Family",Are We There Yet?,okay,95,4.7
2005,"Drama, Family, Comedy",Crab Orchard,okay,90,4.4
2005,"Comedy, Drama, Romance",Elizabethtown,good,123,6.4
2005,"Drama, Horror",The Lazarus Child,okay,93,5.0
2005,"Crime, Drama, Romance",Separate Lies,good,85,6.4
2005,"Action, Horror, Sci-Fi",Alone in the Dark,bad,96,2.4
2005,"Action, Adventure, Comedy",Bal-Can-Can,good,89,7.7
2005,"Comedy, Crime",Fun with Dick and Jane,good,90,6.1
2005,"Comedy, Romance",Monster-in-Law,okay,101,5.5
2005,Comedy,Strangers with Candy,okay,97,6.0
2005,"Drama, Music, Romance",Shooting Livien,okay,90,5.4
2005,"Drama, Mystery, Thriller",Stay,good,99,6.8
2005,"Action, Adventure, Fantasy",Tetsujin niju-hachigo,okay,113,5.2
2005,"Comedy, Drama, Romance",Window Theory,,87,3.9
2005,"Drama, Fantasy, Horror",Beneath Still Waters,,96,3.8
2005,"Animation, Adventure, Come",Chicken Little,okay,81,5.7
2005,"Adventure, Action, Fantasy",Forbidden Warrior,,91,3.5
2005,"Adventure, Comedy, Sci-Fi",The Hitchhiker's Guide to the Galaxy,good,109,6.7
2005,"Crime, Drama, Horror",The Zodiac,okay,92,5.4
2005,"Drama, Horror, Thriller",La monja,okay,101,4.0
2005,"Action, Crime, Drama",Secuestro express,good,90,6.5
2005,"Comedy, Drama, Music",Adam & Steve,okay,99,5.9
2005,"Comedy, Romance",Guess Who,okay,105,5.9
2005,"Animation, Adventure, Come",Dinotopia: Quest for the Ruby Sunstone,okay,75,5.2
2005,"Crime, Drama",Iowa,okay,104,5.0
2005,"Comedy, Romance",Sex Sells: The Making of 'Touché',okay,96,4.8
2005,"Comedy, Romance",The Wedding Date,good,90,6.2
2005,"Action, Adventure",Batman Begins,good,140,8.2
2005,"Comedy, Romance",The Extra,okay,96,5.1
2005,"Action, Comedy, Crime",Underclassman,okay,95,4.3
2005,"Comedy, Drama, Romance",The Wendell Baker Story,okay,99,5.6
